id,date,store,item,sales,description,size
0,2018-01-01,1,1,12.591595182968586,T-Shirts,XS
1,2018-01-02,1,1,14.990880674659772,T-Shirts,XS
2,2018-01-03,1,1,16.049806932079363,T-Shirts,XS
3,2018-01-04,1,1,16.20096963008412,T-Shirts,XS
4,2018-01-05,1,1,18.701413531819203,T-Shirts,XS
5,2018-01-06,1,1,20.100055764316046,T-Shirts,XS
6,2018-01-07,1,1,21.56381655524253,T-Shirts,XS
7,2018-01-08,1,1,12.714308010178902,T-Shirts,XS
8,2018-01-09,1,1,15.07423336882544,T-Shirts,XS
9,2018-01-10,1,1,15.705585519750876,T-Shirts,XS
10,2018-01-11,1,1,16.607422017485526,T-Shirts,XS
11,2018-01-12,1,1,17.36017450097069,T-Shirts,XS
12,2018-01-13,1,1,20.04430164108813,T-Shirts,XS
13,2018-01-14,1,1,21.886932122661904,T-Shirts,XS
14,2018-01-15,1,1,12.498728061001202,T-Shirts,XS
15,2018-01-16,1,1,15.409383508554646,T-Shirts,XS
16,2018-01-17,1,1,15.51351388904175,T-Shirts,XS
17,2018-01-18,1,1,16.351102223593454,T-Shirts,XS
18,2018-01-19,1,1,18.613960685325782,T-Shirts,XS
19,2018-01-20,1,1,20.257109904078533,T-Shirts,XS
20,2018-01-21,1,1,21.452265895824937,T-Shirts,XS
21,2018-01-22,1,1,12.271453854789602,T-Shirts,XS
22,2018-01-23,1,1,15.742878036529016,T-Shirts,XS
23,2018-01-24,1,1,15.871193456767854,T-Shirts,XS
24,2018-01-25,1,1,16.25899424247667,T-Shirts,XS
25,2018-01-26,1,1,17.664444782501413,T-Shirts,XS
26,2018-01-27,1,1,20.258047416431737,T-Shirts,XS
27,2018-01-28,1,1,21.46776127624985,T-Shirts,XS
28,2018-01-29,1,1,12.3196946998411,T-Shirts,XS
29,2018-01-30,1,1,15.592993355611965,T-Shirts,XS
30,2018-01-31,1,1,16.097856334815816,T-Shirts,XS
31,2018-02-01,1,1,16.725597561134865,T-Shirts,XS
32,2018-02-02,1,1,19.08258933961559,T-Shirts,XS
33,2018-02-03,1,1,21.37056366523372,T-Shirts,XS
34,2018-02-04,1,1,22.011964687460967,T-Shirts,XS
35,2018-02-05,1,1,13.149135908686574,T-Shirts,XS
36,2018-02-06,1,1,15.495254995759852,T-Shirts,XS
37,2018-02-07,1,1,16.77683474894549,T-Shirts,XS
38,2018-02-08,1,1,16.803059458950916,T-Shirts,XS
39,2018-02-09,1,1,18.4500206828512,T-Shirts,XS
40,2018-02-10,1,1,20.712066086126647,T-Shirts,XS
41,2018-02-11,1,1,21.65787595970357,T-Shirts,XS
42,2018-02-12,1,1,12.641206286944056,T-Shirts,XS
43,2018-02-13,1,1,15.880562234838356,T-Shirts,XS
44,2018-02-14,1,1,17.306175770312077,T-Shirts,XS
45,2018-02-15,1,1,16.50361767252501,T-Shirts,XS
46,2018-02-16,1,1,18.59857106112678,T-Shirts,XS
47,2018-02-17,1,1,21.283358680268112,T-Shirts,XS
